"Ссылка","Товар","Цена","Количество","Сумма"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa8","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","26","650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","8","2 640"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa9","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","12","300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faa","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faa","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","21","525"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faa","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","12","3 960"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fab","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fab","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","17","425"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fab","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fac","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fac","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","49","1 225"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fac","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","11","3 630"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fad","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","12","3 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fad","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fad","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fae","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fae","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","28","700"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fae","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","13","3 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faf","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432faf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb0","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","18","450"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","14","3 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb1","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","4","100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb2","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","48","1 200"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","14","4 620"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","16","4 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb3","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","7","175"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb4","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","39","975"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","11","3 630"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","17","4 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb5","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","4","100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb6","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","12","300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","6","1 980"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","19","4 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb7","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","11","275"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","7","1 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb8","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","31","775"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","17","5 610"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb9","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fb9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fba","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fba","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","21","525"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fba","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbb","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbb","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbb","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbc","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbc","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","51","1 275"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbc","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","11","3 630"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbd","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","17","4 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbd","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","3","75"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbd","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbe","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbe","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","59","1 475"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbe","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","16","5 280"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","17","4 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbf","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","1","25"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fbf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","4","1 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc0","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","19","475"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","11","3 630"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc1","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","9","225"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","4","1 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc2","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","57","1 425"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","16","5 280"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","17","4 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc3","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","13","325"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","1","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc4","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","32","800"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","11","3 630"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","18","4 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc5","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","11","275"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc6","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","41","1 025"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","13","4 290"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","12","3 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc7","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","1","25"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc8","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","22","550"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","12","3 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc9","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fc9","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fca","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fca","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fca","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcb","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcb","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","12","300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcb","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcc","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcc","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","30","750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcc","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","16","5 280"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcd","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","7","1 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcd","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcd","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fce","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","1","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fce","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fce","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","13","3 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcf","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fcf","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","10","3 300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd0","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","20","5 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd1","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","6","150"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fd1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c69","e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aaf","300","1","300"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c69","e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7537","10 000","1","10 000"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c6a","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","7 500","1","7 500"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c6b","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","8 000","1","8 000"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c6c","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","7 500","2","15 000"
"e1cib/data/Документ.РасходТовара?ref=a1aa086266c6d20f11e70b13d9094c6d","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","7 500","1","7 500"
